"","Valor_credito","Casa_propia","Cuentas_morosas","salario","Sexo","Hijos","carro","Estado_civil","Devuelve_credito"
"168",106074,"No","No",3314,"Femenino",0,"Si","Casado","Si"
"169",67028,"No","Si",7455,"Masculino",6,"Si","Soltero","Si"
"170",43735,"Si","Si",8205,"Femenino",3,"No","Soltero","Si"
"171",68298,"Si","Si",8825,"Masculino",2,"No","Soltero","No"
"172",8676,"No","Si",10550,"Femenino",0,"Si","Soltero","No"
"173",46790,"No","No",10519,"Femenino",2,"Si","Viudo","No"
"174",30420,"Si","Si",10375,"Femenino",0,"Si","Casado","No"
"175",15516,"No","No",6467,"Femenino",3,"Si","Casado","No"
"176",78422,"No","No",2332,"Masculino",4,"No","Casado","No"
"177",79067,"No","Si",6387,"Masculino",6,"No","Casado","Si"
"178",99995,"No","No",10400,"Femenino",0,"No","Casado","No"
"179",89720,"No","No",1394,"Femenino",4,"No","Viudo","Si"
"180",57208,"Si","No",8451,"Masculino",0,"No","Soltero","Si"
"181",47730,"No","Si",7039,"Masculino",2,"Si","Viudo","Si"
"182",20096,"No","Si",6806,"Masculino",0,"No","Soltero","No"
"183",60153,"Si","No",8089,"Femenino",1,"No","Soltero","Si"
"184",30241,"No","Si",5233,"Femenino",5,"No","Casado","No"
"185",26129,"Si","No",9389,"Femenino",0,"No","Soltero","No"
"186",24266,"Si","Si",3016,"Femenino",0,"Si","Soltero","No"
"187",12925,"Si","No",3510,"Femenino",6,"Si","Casado","Si"
"188",32595,"No","No",5201,"Femenino",3,"Si","Viudo","No"
"189",19507,"Si","No",6147,"Masculino",6,"No","Soltero","Si"
"190",22765,"No","Si",7628,"Femenino",6,"No","Soltero","Si"
"191",67457,"Si","Si",10221,"Femenino",0,"Si","Soltero","No"
"192",18676,"No","No",10913,"Femenino",0,"Si","Casado","No"
"193",60281,"No","No",7513,"Masculino",1,"Si","Soltero","Si"
"194",60932,"Si","No",7928,"Femenino",3,"No","Soltero","No"
"195",18671,"No","No",10568,"Masculino",0,"Si","Soltero","No"
"196",25612,"Si","No",5119,"Femenino",3,"No","Divorciado","Si"
"197",61227,"No","No",4512,"Masculino",5,"Si","Soltero","No"
"198",106859,"Si","Si",2272,"Femenino",1,"Si","Casado","No"
"199",42058,"Si","No",6992,"Masculino",0,"No","Casado","No"
"200",20123,"No","Si",9838,"Femenino",4,"Si","Casado","Si"
"201",22470,"No","Si",7877,"Femenino",3,"No","Soltero","Si"
"202",86250,"No","No",2634,"Femenino",0,"Si","Casado","Si"
"203",39015,"Si","Si",9942,"Masculino",0,"Si","Casado","No"
"204",56647,"Si","Si",8486,"Femenino",0,"Si","Viudo","Si"
"205",89819,"Si","No",2262,"Masculino",0,"No","Soltero","Si"
"206",94435,"Si","Si",10136,"Masculino",0,"Si","Casado","Si"
"207",79097,"No","No",5943,"Femenino",0,"No","Casado","No"
"208",43091,"Si","Si",7099,"Femenino",1,"Si","Viudo","No"
"209",62868,"Si","No",2201,"Masculino",0,"No","Casado","No"
"210",11632,"No","Si",7425,"Femenino",6,"No","Soltero","Si"
"211",59706,"No","No",10483,"Femenino",0,"No","Casado","No"
"212",60866,"Si","Si",1678,"Masculino",0,"Si","Casado","No"
"213",46054,"No","No",8569,"Masculino",6,"Si","Casado","No"
"214",87917,"Si","No",2854,"Femenino",4,"Si","Casado","No"
"215",59952,"No","Si",2142,"Masculino",6,"No","Soltero","Si"
"216",70990,"Si","Si",2418,"Masculino",3,"No","Divorciado","Si"
"217",40649,"No","No",8285,"Masculino",0,"No","Soltero","Si"
"218",68325,"Si","No",8260,"Femenino",1,"Si","Divorciado","No"
"219",28952,"Si","No",1955,"Femenino",1,"No","Soltero","Si"
"220",52863,"No","Si",7406,"Masculino",4,"No","Soltero","No"
"221",56543,"No","No",10958,"Femenino",0,"Si","Soltero","No"
"222",9945,"No","Si",5567,"Femenino",0,"Si","Casado","Si"
"223",43500,"No","No",3886,"Femenino",5,"Si","Soltero","No"
"224",26611,"No","Si",9163,"Masculino",0,"Si","Soltero","No"
"225",86015,"No","No",7878,"Femenino",3,"Si","Divorciado","Si"
"226",73249,"No","No",5682,"Femenino",0,"Si","Soltero","No"
"227",105876,"No","Si",3145,"Masculino",0,"Si","Soltero","No"
"228",34272,"Si","Si",8811,"Masculino",2,"Si","Soltero","No"
"229",18149,"No","Si",3465,"Masculino",0,"Si","Viudo","Si"
"230",21266,"No","No",7867,"Femenino",0,"Si","Casado","No"
"231",58257,"Si","Si",5504,"Femenino",4,"Si","Soltero","Si"
"232",18008,"Si","No",2355,"Femenino",0,"Si","Soltero","Si"
"233",107935,"No","No",6260,"Femenino",0,"No","Casado","No"
"234",82993,"Si","No",7958,"Femenino",1,"Si","Viudo","No"
"235",94161,"Si","No",5816,"Masculino",6,"Si","Casado","Si"
"236",52539,"Si","Si",1286,"Masculino",5,"No","Soltero","No"
"237",72584,"Si","Si",4114,"Masculino",6,"No","Casado","No"
"238",23307,"Si","No",2894,"Masculino",1,"Si","Casado","No"
"239",26834,"No","Si",7873,"Femenino",0,"Si","Casado","Si"
"240",35577,"Si","Si",8002,"Masculino",0,"No","Casado","No"
"241",41070,"Si","Si",1233,"Masculino",6,"Si","Separado","No"
"242",102695,"No","No",2968,"Masculino",5,"Si","Casado","No"
"243",91003,"No","Si",10612,"Femenino",0,"Si","Casado","No"
"244",8794,"No","Si",5920,"Masculino",0,"Si","Soltero","Si"
"245",89332,"Si","Si",3959,"Femenino",0,"Si","Soltero","No"
"246",49129,"No","No",10758,"Masculino",0,"Si","Soltero","No"
"247",38735,"Si","Si",8509,"Femenino",0,"Si","Soltero","Si"
"248",13982,"No","No",6645,"Masculino",0,"Si","Casado","Si"
"249",28094,"No","No",8749,"Masculino",2,"Si","Soltero","No"
"250",56180,"No","Si",6921,"Femenino",1,"No","Casado","Si"
"251",108412,"Si","Si",2343,"Femenino",6,"Si","Soltero","No"
"252",29548,"No","Si",1392,"Femenino",1,"Si","Soltero","Si"
"253",14771,"Si","No",9884,"Femenino",0,"No","Casado","Si"
"254",37491,"No","No",3079,"Masculino",0,"No","Casado","No"
"255",46314,"Si","Si",6183,"Masculino",1,"Si","Divorciado","Si"
"256",12536,"No","No",6429,"Femenino",2,"No","Casado","Si"
"257",14240,"No","Si",2220,"Femenino",4,"No","Casado","Si"
"258",79370,"Si","Si",5960,"Femenino",0,"No","Casado","Si"
"259",77711,"Si","No",5508,"Femenino",0,"Si","Viudo","No"
"260",68625,"Si","Si",2780,"Femenino",0,"Si","Casado","Si"
"261",80267,"No","Si",5277,"Masculino",6,"No","Soltero","No"
"262",71142,"Si","No",8157,"Masculino",1,"No","Casado","No"
"263",18155,"Si","No",2216,"Femenino",4,"No","Casado","Si"
"264",91373,"Si","Si",6163,"Masculino",6,"Si","Soltero","No"
"265",76909,"No","No",2120,"Femenino",4,"Si","Casado","No"
"266",81449,"Si","Si",4320,"Masculino",5,"No","Casado","Si"
"267",48102,"Si","No",1229,"Femenino",0,"No","Casado","No"
"268",108428,"No","No",6996,"Masculino",0,"Si","Separado","Si"
"269",25035,"No","No",8595,"Femenino",6,"Si","Soltero","Si"
"270",29408,"Si","No",9945,"Femenino",3,"No","Casado","Si"
"271",60232,"Si","No",3902,"Femenino",0,"No","Casado","No"
"272",45320,"Si","No",4325,"Femenino",0,"No","Casado","No"
"273",72063,"Si","No",7094,"Femenino",1,"No","Casado","No"
"274",79113,"No","Si",1820,"Masculino",0,"No","Soltero","Si"
"275",23822,"Si","Si",8221,"Masculino",1,"No","Casado","Si"
"276",95723,"Si","No",3684,"Femenino",0,"Si","Casado","No"
"277",84398,"Si","Si",2740,"Masculino",6,"Si","Casado","No"
"278",71391,"Si","No",9967,"Femenino",0,"No","Viudo","Si"
"279",109383,"Si","No",3705,"Masculino",4,"Si","Soltero","Si"
"280",62943,"Si","Si",1562,"Masculino",4,"No","Casado","Si"
"281",17989,"Si","Si",8895,"Masculino",6,"Si","Divorciado","No"
"282",19016,"No","Si",3776,"Femenino",0,"No","Soltero","No"
"283",90537,"Si","No",10900,"Femenino",6,"No","Soltero","Si"
"284",23012,"No","Si",1646,"Femenino",0,"No","Soltero","No"
"285",36529,"Si","No",4050,"Masculino",6,"No","Casado","Si"
"286",81635,"Si","Si",2091,"Femenino",0,"No","Viudo","No"
"287",41808,"No","No",10455,"Masculino",0,"No","Soltero","Si"
"288",30031,"No","No",4504,"Masculino",0,"No","Casado","Si"
"289",51352,"Si","No",1846,"Masculino",6,"Si","Casado","Si"
"290",63882,"No","No",2677,"Masculino",6,"No","Casado","No"
"291",61293,"No","Si",3541,"Masculino",0,"Si","Divorciado","No"
"292",34708,"Si","Si",7535,"Masculino",0,"No","Soltero","Si"
"293",64566,"No","No",4795,"Masculino",0,"Si","Soltero","Si"
"294",13161,"Si","No",10546,"Masculino",0,"No","Soltero","No"
"295",95279,"Si","No",2617,"Masculino",3,"No","Soltero","No"
"296",94938,"No","No",6228,"Femenino",0,"No","Casado","Si"
"297",66089,"Si","No",10655,"Masculino",1,"Si","Soltero","Si"
"298",108494,"Si","No",3571,"Masculino",6,"No","Soltero","No"
"299",22871,"No","No",8144,"Femenino",0,"No","Casado","No"
"300",15757,"No","Si",3178,"Femenino",3,"Si","Casado","No"
"301",71993,"No","No",3095,"Femenino",0,"Si","Soltero","No"
"302",23458,"Si","Si",7733,"Femenino",0,"No","Casado","Si"
"303",41147,"Si","Si",4646,"Masculino",0,"Si","Casado","No"
"304",97715,"Si","Si",10935,"Femenino",6,"No","Soltero","Si"
"305",35945,"No","Si",7881,"Masculino",4,"Si","Casado","No"
"306",53263,"No","Si",8545,"Femenino",0,"Si","Casado","No"
"307",38086,"No","No",10263,"Femenino",4,"Si","Soltero","No"
"308",17813,"Si","No",9808,"Femenino",0,"Si","Soltero","No"
"309",44525,"No","No",2721,"Femenino",0,"No","Casado","Si"
"310",33799,"Si","Si",1611,"Femenino",1,"Si","Soltero","No"
"311",67898,"Si","No",1528,"Femenino",3,"Si","Soltero","No"
"312",57634,"No","Si",9579,"Masculino",0,"Si","Casado","Si"
"313",93024,"No","Si",3476,"Masculino",6,"No","Casado","No"
"314",18494,"Si","Si",5025,"Femenino",0,"Si","Casado","Si"
"315",58575,"Si","Si",3207,"Femenino",0,"No","Casado","Si"
"316",70487,"No","No",2762,"Femenino",6,"No","Casado","No"
"317",19427,"Si","Si",3391,"Femenino",2,"No","Soltero","Si"
"318",23344,"Si","Si",10122,"Femenino",2,"Si","Separado","Si"
"319",16224,"No","No",6523,"Femenino",6,"No","Casado","No"
"320",91616,"No","Si",1857,"Femenino",2,"No","Soltero","No"
"321",96675,"Si","Si",6432,"Masculino",4,"No","Soltero","No"
"322",40273,"No","No",7002,"Femenino",0,"Si","Casado","No"
"323",39434,"No","Si",1459,"Masculino",6,"Si","Casado","No"
"324",97119,"Si","No",10777,"Masculino",0,"No","Soltero","No"
"325",25256,"Si","Si",1303,"Masculino",4,"No","Soltero","Si"
"326",99506,"No","Si",2861,"Masculino",0,"Si","Soltero","Si"
"327",75525,"Si","No",6706,"Femenino",1,"No","Soltero","Si"
"328",18650,"No","No",5001,"Masculino",0,"Si","Viudo","No"
"329",12953,"Si","Si",1338,"Femenino",0,"Si","Divorciado","Si"
"330",10974,"No","No",6168,"Masculino",1,"No","Soltero","Si"
"331",50641,"Si","No",2000,"Femenino",0,"No","Casado","Si"
"332",104988,"Si","No",10430,"Femenino",6,"No","Casado","No"
"333",85163,"Si","No",5952,"Femenino",0,"No","Soltero","Si"
"334",45992,"Si","Si",1427,"Femenino",4,"Si","Viudo","No"
"335",89966,"Si","Si",3078,"Masculino",6,"Si","Soltero","No"
"336",32307,"Si","Si",8476,"Femenino",0,"No","Soltero","Si"
"337",40834,"Si","No",8726,"Masculino",0,"Si","Casado","No"
"338",80291,"No","No",7883,"Masculino",1,"Si","Divorciado","Si"
"339",91928,"Si","No",4775,"Masculino",0,"No","Casado","Si"
"340",75212,"Si","Si",10207,"Femenino",0,"Si","Soltero","No"
"341",106020,"No","No",4453,"Masculino",6,"No","Casado","No"
"342",31766,"No","No",10079,"Femenino",6,"No","Soltero","Si"
"343",42544,"No","Si",5857,"Masculino",0,"Si","Soltero","No"
"344",107417,"Si","Si",4975,"Masculino",3,"No","Soltero","No"
"345",14223,"Si","Si",4248,"Femenino",6,"Si","Viudo","Si"
"346",54347,"Si","No",8824,"Femenino",3,"Si","Casado","No"
"347",69542,"Si","Si",5822,"Femenino",3,"No","Soltero","No"
"348",40552,"No","Si",1610,"Femenino",0,"Si","Soltero","Si"
"349",98340,"No","Si",9612,"Femenino",0,"No","Soltero","Si"
"350",45577,"No","Si",5514,"Femenino",0,"No","Casado","Si"
"351",76091,"Si","Si",9249,"Femenino",1,"Si","Casado","No"
"352",58645,"No","Si",1749,"Masculino",0,"Si","Soltero","No"
"353",53120,"Si","Si",4533,"Masculino",1,"No","Soltero","Si"
"354",25255,"No","Si",2218,"Femenino",2,"Si","Soltero","Si"
"355",67745,"No","No",3835,"Femenino",3,"No","Casado","No"
"356",74703,"Si","No",6262,"Femenino",0,"No","Casado","Si"
"357",99880,"Si","Si",9917,"Masculino",0,"No","Divorciado","Si"
"358",81936,"No","Si",5773,"Femenino",0,"No","Soltero","No"
"359",31213,"Si","Si",3184,"Masculino",0,"Si","Soltero","Si"
"360",26343,"No","No",6340,"Femenino",6,"Si","Casado","Si"
"361",10283,"Si","No",6609,"Femenino",4,"No","Casado","No"
"362",39480,"No","Si",3306,"Femenino",3,"Si","Soltero","Si"
"363",24910,"Si","No",10902,"Femenino",0,"Si","Casado","No"
"364",12115,"Si","Si",8643,"Masculino",2,"No","Casado","Si"
"365",11440,"No","Si",7342,"Masculino",0,"No","Soltero","No"
"366",93096,"Si","No",10303,"Masculino",4,"Si","Casado","Si"
"367",39125,"Si","No",4539,"Masculino",4,"Si","Soltero","No"
"368",67572,"Si","No",3269,"Femenino",5,"Si","Casado","Si"
"369",76780,"Si","Si",5800,"Masculino",2,"Si","Casado","No"
"370",41915,"No","No",5115,"Masculino",0,"No","Casado","No"
"371",59916,"No","No",4602,"Masculino",0,"No","Soltero","No"
"372",45365,"Si","No",10133,"Masculino",0,"Si","Viudo","No"
"373",88942,"No","Si",1983,"Masculino",0,"Si","Casado","Si"
"374",46267,"Si","Si",5439,"Femenino",0,"No","Casado","No"
"375",49419,"Si","Si",2737,"Femenino",0,"Si","Soltero","Si"
"376",10698,"No","No",5124,"Masculino",6,"No","Divorciado","No"
"377",51711,"Si","No",7792,"Femenino",0,"Si","Soltero","Si"
"378",86697,"Si","No",7651,"Femenino",6,"Si","Viudo","Si"
"379",80906,"No","No",4588,"Femenino",0,"Si","Casado","Si"
"380",100920,"No","Si",4669,"Masculino",6,"Si","Casado","Si"
"381",70553,"Si","No",8875,"Femenino",6,"No","Casado","No"
"382",35562,"Si","Si",3863,"Masculino",3,"No","Soltero","No"
"383",25181,"No","No",4522,"Masculino",4,"Si","Soltero","Si"
"384",88458,"No","No",4697,"Masculino",0,"Si","Soltero","No"
"385",84376,"Si","No",7485,"Masculino",2,"Si","Casado","No"
"386",49385,"No","No",5546,"Masculino",6,"No","Soltero","No"
"387",27981,"No","No",9746,"Masculino",6,"Si","Soltero","Si"
"388",42958,"No","No",6319,"Femenino",0,"Si","Soltero","No"
"389",22005,"No","Si",10863,"Masculino",6,"Si","Casado","No"
"390",107982,"Si","Si",3443,"Femenino",0,"No","Casado","Si"
"391",51381,"No","Si",8310,"Femenino",0,"No","Soltero","Si"
"392",71023,"No","Si",3809,"Femenino",2,"No","Soltero","No"
"393",14770,"Si","No",8567,"Masculino",0,"No","Casado","Si"
"394",39906,"Si","Si",1463,"Masculino",0,"Si","Casado","Si"
"395",18300,"Si","No",7385,"Masculino",1,"Si","Soltero","Si"
"396",48351,"Si","Si",5221,"Femenino",0,"No","Casado","No"
"397",106170,"No","No",8598,"Femenino",3,"No","Casado","No"
"398",34232,"Si","No",2526,"Masculino",4,"No","Soltero","Si"
"399",73384,"Si","Si",2895,"Femenino",2,"Si","Casado","Si"
"400",26549,"Si","Si",3741,"Femenino",0,"Si","Casado","No"
"401",54022,"Si","No",9915,"Femenino",6,"No","Soltero","No"
